experiment_id,target_disease,organ,script,tissue_dir,output_path,state_key,start_state,goal_state,celltypes,n_genes,max_ncells,timepoints,start_time,duration_est,results_file,gene_list_file,status,notes
trial_AD_smallint,AD,small_intestine,analysis/07_in_silico_perturbation.py,input/AD_smallint,input/AD_smallint/results/isp,celltype,Epithelial.cells,Naive.Memory.B.cells,most-abundant-celltype,1,200,all,2026-08-23T23:12,0.08,input/AD_smallint/results/isp/isp_stats.csv,auto-selected,completed,"Dummy/trial run: celltype-axis auto-selection (Epithelial->Naive.Memory.B). Pipeline validation only, not disease-informed."
isp_early_ad_smallint,AD,small_intestine,analysis/07_ad_smallint_early_isp.py,input/AD_smallint,input/AD_smallint/results/isp/ad_smallint,disease,AD,WT,"Macrophages, CD4.T.cells, CD8.T.cells, NK_ILC1, IECs, Paneth.cells, Goblet.cells_M.cells, Epithelial.cells",49,300,early (3m/4p5m/6m),2026-08-25T15:38,0.75,input/AD_smallint/results/isp/ad_smallint/ad_smallint_early_isp_stats_combined.csv,result/report/data/ad_smallint_gene_list.csv,completed,"Main gut-brain-axis analysis. Disease-axis (AD->WT), early timepoints, single-gene combos=0 in-silico deletion."
isp_early_ad_brain,AD,brain,analysis/07_ad_brain_early_isp.py,input/AD_brain,input/AD_brain/results/isp/ad_brain,disease,AD,WT,"Microglia, BAM",23,200,early (3m/4p5m/6m),2026-08-25T15:16,1.12,input/AD_brain/results/isp/ad_brain/ad_brain_early_isp_stats_combined.csv,result/report/data/ad_brain_gene_list.csv,completed,Brain-resident innate immunity (microglia + BAM) disease delete screening; APOE dominant hit.
isp_pretrained_pd_spleen,PD,spleen,analysis/07_pd_spleen_early_isp.py,input/PD_spleen,input/PD_spleen/results/isp/pd_spleen,disease,PF,WT,"Macrophages, Ly6c.high/Low.Monocytes, DCs, cDC.1/2, pDCs, Migratory.DCs, CD4/CD8 T, NK.T, GammaDelta.T, Naive/MZ B, Plasmablasts, NK_ILC1",34,300,6m / 9m / 12m (per timepoint),2026-08-25T23:22,0.5,input/PD_spleen/results/isp/pd_spleen/pd_spleen_early_isp_stats_combined.csv,result/report/data/pd_spleen_gene_list.csv,completed,"Early-PD detection. Pretrained V2-104M (fine-tuned classifier is 0-byte/unfinished). Immune-cell pool in spleen, per-timepoint PF(alpha-syn PFF)->WT. Top early-specific hits: S100A8/S100A9, FOXP3, C1QB. PD gap: only spleen data; fine-tune incomplete; PD_brain/PD_blood scripts referenced but not present in repo."
isp_pd_spleen_finetune_missing,PD,spleen,-,input/PD_spleen,input/PD_spleen/runs,-,-,-,-,-,-,-,2026-08-25T10:20,-,-,-,missing,"PD_spleen fine-tuned CellClassifier is 0-byte (runs/260823_.../ksplit1 config.json+model.safetensors empty). Re-run analysis/06_finetune.py to get real weights before comparing to fine-tuned AD."
isp_pd_brain_missing,PD,brain,-,-,-,disease,PF,WT,-,-,-,-,-,-,-,-,missing,"PD_brain script/data referenced (07b_in_silico_perturbation_PD.py) but not present in this repo."
isp_pd_blood_missing,PD,blood,-,-,-,disease,PF,WT,-,-,-,-,-,-,-,-,missing,"PD_blood script referenced (07d_pd_blood_perturbation.py) but not present in this repo."
isp_early_ad_blood,AD,blood,analysis/07_ad_blood_early_isp.py,input/AD_blood,input/AD_blood/results/isp/ad_blood,disease,AD,WT,"CD4.T.cells, CD8.T.cells, NK_ILC1, Naive.Memory.B.cells, Neutrophils, Ly6c.low.nonclassical.Monocytes, Ly6c.high.classical.Monocytes, cDCs, pDCs, Gamma.Delta.T.cells",55,200,3m / 4p5m / 6m / 9m / 12m (per timepoint),2026-08-26T01:14,1.58,input/AD_blood/results/isp/ad_blood/ad_blood_early_isp_stats_combined.csv,result/report/data/ad_blood_gene_list.csv,completed,"Early-AD detection in blood. Fine-tuned blood cell classifier (ksplit1). Disease-axis AD->WT, per-timepoint deletion, single-gene combos=0. Top 3m hits: CD3E +0.0142, CD4 +0.0138 (T-cell markers) - T-cell axis dominant."
isp_early_ad_spleen,AD,spleen,analysis/07_ad_spleen_early_isp.py,input/AD_spleen,input/AD_spleen/results/isp/ad_spleen,disease,AD,WT,"Ly6c.high/low.Monocytes, Macrophages, Neutrophils, DCs, cDC.1/2, pDCs, Migratory.DCs, CD4/CD8 T, Immature.T, GammaDelta.T, NKT, NK_ILC1, Naive.Memory.B, MZ.B, Plasma.cells, GC.B",55,200,3m / 4p5m / 6m (per timepoint),2026-08-26T09:27,0.83,input/AD_spleen/results/isp/ad_spleen/ad_spleen_early_isp_stats_combined.csv,result/report/data/ad_spleen_gene_list.csv,completed,"Early-AD detection in spleen (5xFAD-family). Fine-tuned spleen cell classifier (ksplit1, acc 0.93/25 classes). Disease-axis AD->WT, per-timepoint deletion, single-gene combos=0. 55-gene panel = blood(07e) reused (all expressed in AD3m spleen immune pool; CX3CR1 excluded). Top 3m hits: CLEC9A +0.0066, ITGA2B +0.0062, CD19 +0.0034, CD4 +0.0034, CLU +0.0029."
isp_early_ad_ln,AD,lymph_node,analysis/07_ad_ln_early_isp.py,input/AD_LN,input/AD_LN/results/isp/ad_ln,disease,AD,WT,CD4.T.cells,3,50,test,2026-08-26T14:17,-,-,-,script_only,"AD_LN small-scale CD4+ T-cell test (CD28/STAT3/FOXP3). Refactored to _isp_common + unified output (ad_ln). input/AD_LN data/fine-tune model not yet present - run requires data placement."
